pos,gen_pos,count
6422,6.422e-05,1
12725,0.00012725,4
36918,0.00036918,1
51884,0.00051884,2
58171,0.00058171,4
77812,0.00077812,1
78467,0.00078467,1
127554,0.00127554,2
136481,0.00136481,1
144034,0.00144034,3
146095,0.00146095,1
146404,0.00146404,1
147435,0.00147435,1
185764,0.00185764,1
191980,0.0019198,3
210251,0.00210251,1
214800,0.002148,1
245315,0.00245315,1
269332,0.00269332,4
316124,0.00316124,2
316653,0.00316653,1
389609,0.00389609,2
394959,0.00394959,2
400407,0.00400407,4
401777,0.00401777,1
422846,0.00422846,4
432231,0.00432231,1
450251,0.00450251,2
463919,0.0046391900000000005,2
464298,0.00464298,2
492316,0.00492316,1
494841,0.00494841,1
564139,0.0056413900000000005,3
568036,0.00568036,2
585572,0.00585572,3
600273,0.00600273,1
603060,0.0060306000000000005,3
603903,0.00603903,1
614411,0.00614411,1
636290,0.0063629,3
638583,0.00638583,2
657793,0.00657793,1
679579,0.00679579,1
684244,0.00684244,1
691638,0.00691638,1
698521,0.00698521,3
729866,0.00729866,3
735966,0.0073596600000000005,1
744870,0.0074487,3
745436,0.00745436,1
868854,0.00868854,2
869335,0.00869335,1
869460,0.0086946,2
910701,0.00910701,3
931365,0.00931365,3
932206,0.00932206,3
978293,0.00978293,1
982564,0.00982564,1
1039537,0.010395370000000001,4
1056300,0.010563,2
1076274,0.01076274,1
1085960,0.0108596,1
1130067,0.01130067,1
1139875,0.011398750000000001,4
1145597,0.011455970000000001,1
1162593,0.01162593,1
1227032,0.01227032,1
1268895,0.012688950000000001,3
1275547,0.01275547,4
1280364,0.01280364,1
1289312,0.012893120000000001,4
1303549,0.01303549,1
1321468,0.01321468,3
1328190,0.013281900000000001,3
1370489,0.01370489,2
1390775,0.01390775,1
1398254,0.01398254,3
1405486,0.01405486,3
1458767,0.01458767,2
1465084,0.01465084,4
1466686,0.01466686,3
1466989,0.01466989,3
1471845,0.014718450000000001,1
1475751,0.01475751,1
1476689,0.01476689,2
1483151,0.014831510000000001,4
1529503,0.015295030000000001,1
1536447,0.01536447,1
1538269,0.015382690000000001,1
1544562,0.01544562,1
1551965,0.015519650000000001,1
1655717,0.01655717,2
1721743,0.01721743,1
1736754,0.01736754,1
1737488,0.01737488,4
1745787,0.01745787,1
1750602,0.01750602,1
1754883,0.01754883,1
1780610,0.017806100000000002,2
1783837,0.01783837,1
1793080,0.0179308,2
1799993,0.01799993,1
1802564,0.01802564,1
1837262,0.01837262,1
1844100,0.018441,4
1845031,0.01845031,4
1849157,0.01849157,3
1895407,0.01895407,2
1898788,0.018987880000000002,1
1906968,0.019069680000000002,3
1948936,0.01948936,1
1949350,0.0194935,3
1955144,0.01955144,3
1956330,0.0195633,2
1960444,0.01960444,2
1968305,0.01968305,3
1978618,0.01978618,1
2011943,0.02011943,2
2066621,0.02066621,1
2071962,0.02071962,1
2084941,0.02084941,3
2135007,0.02135007,1
2139769,0.02139769,1
2161246,0.02161246,1
2194631,0.02194631,1
2205497,0.02205497,1
2225906,0.02225906,1
2249143,0.02249143,4
2330802,0.023308020000000002,1
2334360,0.0233436,1
2428057,0.02428057,1
2441013,0.024410130000000002,2
2477362,0.02477362,2
2501560,0.0250156,2
2519532,0.02519532,1
2538869,0.025388690000000002,3
2587507,0.02587507,1
2658469,0.02658469,3
2679362,0.02679362,1
2682486,0.02682486,1
2712487,0.02712487,3
2723215,0.02723215,3
2729846,0.02729846,1
2731060,0.0273106,2
2749900,0.027499,3
2796600,0.027966,4
2808671,0.02808671,1
2812618,0.02812618,1
2843698,0.02843698,4
2858191,0.028581910000000002,2
2868211,0.02868211,2
2871639,0.02871639,2
2904192,0.029041920000000002,1
2919063,0.029190630000000002,1
2954839,0.02954839,1
2982256,0.02982256,1
2982317,0.02982317,3
2988928,0.02988928,3
2998365,0.02998365,1
3019208,0.03019208,4
3023394,0.03023394,1
3044024,0.03044024,3
3086437,0.030864370000000002,1
3100152,0.03100152,2
3100529,0.03100529,1
3102737,0.031027370000000002,1
3104288,0.031042880000000002,2
3149603,0.03149603,1
3150204,0.03150204,1
3153056,0.03153056,3
3161150,0.0316115,1
3173773,0.03173773,1
3180966,0.031809660000000003,1
3201004,0.032010040000000003,1
3202079,0.03202079,3
3202320,0.0320232,2
3206333,0.03206333,3
3224278,0.03224278,1
3229836,0.03229836,2
3240707,0.03240707,2
3242699,0.03242699,1
3414534,0.03414534,4
3421592,0.034215920000000004,1
3446887,0.03446887,1
3453543,0.03453543,1
3469766,0.03469766,1
3496112,0.03496112,4
3502052,0.03502052,1
3502412,0.03502412,1
3505039,0.03505039,2
3523514,0.03523514,3
3553087,0.03553087,3
3597447,0.03597447,1
3609628,0.03609628,2
3613307,0.03613307,1
3616424,0.03616424,1
3618313,0.03618313,4
3656648,0.03656648,1
3680583,0.03680583,1
3691247,0.03691247,2
3692655,0.03692655,2
3692998,0.03692998,3
3701937,0.03701937,3
3744100,0.037441,4
3746794,0.03746794,1
3803524,0.03803524,2
3804210,0.0380421,2
3804998,0.038049980000000004,2
3807866,0.03807866,3
3819073,0.03819073,3
3846819,0.03846819,1
3875408,0.03875408,1
3892541,0.03892541,1
3924900,0.039249,1
3925859,0.03925859,1
3926421,0.03926421,2
3932906,0.03932906,1
3948210,0.0394821,1
3962628,0.03962628,2
3964046,0.03964046,1
3975697,0.03975697,3
3988143,0.03988143,1
4017621,0.040176210000000004,4
4030633,0.04030633,2
4047604,0.04047604,2
4072084,0.04072084,4
4141660,0.0414166,1
4148708,0.04148708,1
4167322,0.041673220000000004,1
4175751,0.04175751,2
4180648,0.04180648,1
4180832,0.04180832,2
4181435,0.04181435,4
4205123,0.04205123,2
4217203,0.04217203,1
4219361,0.04219361,1
4230545,0.04230545,1
4234120,0.0423412,1
4235196,0.04235196,3
4235421,0.04235421,1
4247513,0.04247513,1
4257845,0.042578450000000004,2
4280686,0.04280686,2
4289873,0.04289873,2
4299028,0.04299028,1
4303164,0.04303164,1
4320620,0.0432062,2
4334138,0.04334138,1
4352807,0.04352807,1
4391308,0.04391308,1
4402225,0.04402225,4
4429841,0.04429841,2
4432013,0.04432013,3
4467794,0.04467794,3
4492038,0.04492038,4
4499796,0.044997960000000004,1
4502751,0.04502751,1
4509602,0.04509602,1
4532234,0.04532234,3
4538607,0.04538607,2
4584627,0.04584627,4
4601512,0.04601512,1
4607339,0.04607339,1
4613920,0.0461392,2
4623036,0.04623036,1
4632618,0.04632618,3
4653526,0.04653526,4
4693698,0.04693698,2
4694631,0.04694631,2
4717558,0.04717558,4
4729087,0.04729087,1
4730136,0.04730136,1
4757787,0.04757787,1
4762000,0.04762,4
4765214,0.04765214,1
4765968,0.04765968,1
4802692,0.04802692,2
4829089,0.04829089,4
4839693,0.04839693,2
4884047,0.048840470000000004,1
4886054,0.04886054,4
4896796,0.04896796,3
4928684,0.04928684,1
4931692,0.04931692,3
4954885,0.04954885,1
4957666,0.04957666,1
4997829,0.04997829,1
5005018,0.05005018,3
5008900,0.050089,2
5011024,0.05011024,2
5046487,0.05046487,4
5048007,0.05048007,4
5054552,0.050545520000000004,1
5055732,0.05055732,2
5063715,0.05063715,1
5083000,0.05083,1
5095821,0.050958210000000004,1
5104807,0.05104807,1
5104884,0.05104884,1
5132302,0.051323020000000004,4
5146129,0.05146129,1
5157975,0.05157975,3
5171000,0.05171,1
5182282,0.05182282,1
5185655,0.05185655,1
5325098,0.05325098,1
5333078,0.05333078,1
5362362,0.053623620000000004,2
5364174,0.05364174,1
5374673,0.05374673,2
5376157,0.05376157,1
5402007,0.05402007,2
5452035,0.05452035,1
5457703,0.05457703,1
5474741,0.05474741,1
5495984,0.05495984,3
5503462,0.05503462,1
5560169,0.05560169,1
5560769,0.05560769,2
5567057,0.05567057,1
5572286,0.05572286,4
5576364,0.05576364,3
5579046,0.05579046,1
5591029,0.05591029,3
5601826,0.05601826,1
5633607,0.05633607,3
5641351,0.05641351,2
5664263,0.05664263,3
5665435,0.05665435,1
5691301,0.05691301,3
5703982,0.05703982,2
5726354,0.05726354,3
5745857,0.05745857,3
5746251,0.05746251,1
5767468,0.05767468,4
5803935,0.05803935,2
5849803,0.05849803,1
5862349,0.05862349,3
5884964,0.05884964,2
6005812,0.06005812,3
6014030,0.0601403,2
6038361,0.060383610000000004,3
6038799,0.06038799,4
6069387,0.060693870000000004,4
